18.4,4.42257,1.19232,-1.01896,3.4036,32,174.3
18.6,4.40081,1.19412,-1.00628,3.39452,32,174.3
18.8,4.37856,1.19568,-0.993599,3.38496,32,174.3
19,4.35583,1.197,-0.980913,3.37491,32,174.3
19.2,4.33262,1.19808,-0.968231,3.36439,32,174.3
19.4,4.30895,1.19892,-0.955557,3.3534,32,174.3
19.6,4.28482,1.19952,-0.942892,3.34193,32,174.3
19.8,4.26024,1.19988,-0.930242,3.33,32,174.3
20,4.23522,1.2,-0.91761,3.31761,32,174.3
20.2,4.20976,1.19988,-0.904999,3.30476,32,174.3
20.4,4.18386,1.19952,-0.892412,3.29145,32,174.3
20.6,4.15755,1.19892,-0.879853,3.27769,32,174.3
20.8,4.13081,1.19808,-0.867325,3.26349,32,174.3
21,4.10366,1.197,-0.854831,3.24883,32,174.3
21.2,4.07611,1.19568,-0.842374,3.23373,32,174.3
21.4,4.04815,1.19412,-0.829957,3.2182,32,174.3
21.6,4.0198,1.19232,-0.817582,3.20222,32,174.3
21.8,3.99106,1.19028,-0.805252,3.18581,32,174.3
22,3.96194,1.188,-0.792971,3.16897,32,174.3
22.2,3.93244,1.18548,-0.780741,3.1517,32,174.3
22.4,3.90257,1.18272,-0.768563,3.134,32,174.3
22.6,3.87232,1.17972,-0.756442,3.11588,32,174.3
22.8,3.84172,1.17648,-0.744379,3.09734,32,174.3
23,3.81075,1.173,-0.732376,3.07838,32,174.3
23.2,3.77943,1.16928,-0.720436,3.059,32,174.3
23.4,3.74776,1.16532,-0.708561,3.0392,32,174.3
23.6,3.71575,1.16112,-0.696753,3.01899,32,174.3
23.8,3.68339,1.15668,-0.685015,2.99837,32,174.3
24,3.6507,1.152,-0.673348,2.97735,32,174.3
24.2,3.61767,1.14708,-0.661754,2.95591,32,174.3
24.4,3.58431,1.14192,-0.650235,2.93407,32,174.3
24.6,3.55063,1.13652,-0.638793,2.91183,32,174.3
24.8,3.51662,1.13088,-0.62743,2.88919,32,174.3
25,3.4823,1.125,-0.616148,2.86615,32,174.3
25.2,3.44765,1.11888,-0.604947,2.84271,32,174.3
25.4,3.4127,1.11252,-0.593831,2.81887,32,174.3
25.6,3.37744,1.10592,-0.582799,2.79464,32,174.3
25.8,3.34187,1.09908,-0.571855,2.77001,32,174.3
26,3.306,1.092,-0.560998,2.745,32,174.3
26.2,3.26982,1.08468,-0.550232,2.71959,32,174.3
26.4,3.23335,1.07712,-0.539556,2.6938,32,174.3
26.6,3.19658,1.06932,-0.528972,2.66761,32,174.3
26.8,3.15952,1.06128,-0.518482,2.64104,32,174.3
27,3.12217,1.053,-0.508086,2.61409,32,174.3
27.2,3.08453,1.04448,-0.497786,2.58675,32,174.3
27.4,3.04661,1.03572,-0.487583,2.55902,32,174.3
27.6,3.00839,1.02672,-0.477477,2.53092,32,174.3
27.8,2.9699,1.01748,-0.46747,2.50243,32,174.3
28,2.93113,1.008,-0.457563,2.47356,32,174.3
28.2,2.89207,0.99828,-0.447756,2.44432,32,174.3
28.4,2.85274,0.98832,-0.43805,2.41469,32,174.3
28.6,2.81313,0.97812,-0.428446,2.38469,32,174.3
28.8,2.77325,0.96768,-0.418944,2.3543,32,174.3
29,2.73309,0.957,-0.409546,2.32355,32,174.3
29.2,2.69266,0.94608,-0.400252,2.29241,32,174.3
29.4,2.65196,0.93492,-0.391062,2.2609,32,174.3
29.6,2.61099,0.92352,-0.381976,2.22902,32,174.3
29.8,2.56975,0.91188,-0.372997,2.19676,32,174.3
30,2.52824,0.9,-0.364122,2.16412,32,174.3
30.2,2.48647,0.88788,-0.355354,2.13111,32,174.3
30.4,2.44443,0.87552,-0.346693,2.09773,32,174.3
30.6,2.40212,0.86292,-0.338138,2.06398,32,174.3
30.8,2.35954,0.85008,-0.329689,2.02985,32,174.3
31,2.3167,0.837,-0.321348,1.99535,32,174.3
31.2,2.27359,0.82368,-0.313113,1.96047,32,174.3
31.4,2.23021,0.81012,-0.304986,1.92523,32,174.3
31.6,2.18657,0.79632,-0.296966,1.88961,32,174.3
31.8,2.14267,0.78228,-0.289053,1.85361,32,174.3
32,2.09849,0.768,-0.281247,1.81725,32,174.3
32.2,2.05406,0.75348,-0.273548,1.78051,32,174.3
32.4,2.00935,0.73872,-0.265956,1.7434,32,174.3
32.6,1.96438,0.72372,-0.25847,1.70591,32,174.3
32.8,1.91914,0.70848,-0.251091,1.66805,32,174.3
33,1.87363,0.693,-0.243817,1.62982,32,174.3
33.2,1.82786,0.67728,-0.236649,1.59121,32,174.3
33.4,1.78181,0.66132,-0.229586,1.55223,32,174.3
33.6,1.7355,0.64512,-0.222629,1.51287,32,174.3
33.8,1.68891,0.62868,-0.215775,1.47313,32,174.3
34,1.64205,0.612,-0.209025,1.43303,32,174.3
34.2,1.59492,0.59508,-0.202378,1.39254,32,174.3
34.4,1.54751,0.57792,-0.195834,1.35167,32,174.3
34.6,1.49982,0.56052,-0.189392,1.31043,32,174.3
34.8,1.45186,0.54288,-0.183051,1.26881,32,174.3
35,1.40362,0.525,-0.176811,1.22681,32,174.3
35.2,1.3551,0.50688,-0.17067,1.18443,32,174.3
35.4,1.3063,0.48852,-0.164628,1.14167,32,174.3
35.6,1.25721,0.46992,-0.158684,1.09852,32,174.3
35.8,1.20784,0.45108,-0.152838,1.055,32,174.3
36,1.15817,0.432,-0.147087,1.01109,32,174.3
36.2,1.10822,0.41268,-0.141431,0.966791,32,174.3
36.4,1.05798,0.39312,-0.13587,0.92211,32,174.3
36.6,1.00744,0.37332,-0.130401,0.877041,32,174.3
36.8,0.956609,0.35328,-0.125024,0.831584,32,174.3
37,0.905477,0.333,-0.119738,0.785738,32,174.3
37.2,0.854043,0.31248,-0.114542,0.739502,32,174.3
37.4,0.802306,0.29172,-0.109433,0.692873,32,174.3
37.6,0.750263,0.27072,-0.104412,0.645852,32,174.3
37.8,0.697911,0.24948,-0.0994755,0.598436,32,174.3
38,0.645247,0.228,-0.0946237,0.550624,32,174.3
38.2,0.592269,0.20628,-0.0898545,0.502415,32,174.3
38.4,0.538973,0.18432,-0.0851667,0.453807,32,174.3
38.6,0.485357,0.16212,-0.0805586,0.404799,32,174.3
38.8,0.431417,0.13968,-0.0760287,0.355389,32,174.3
39,0.377151,0.117,-0.0715754,0.305575,32,174.3
39.2,0.322554,0.09408,-0.0671972,0.255357,32,174.3
39.4,0.267624,0.07092,-0.0628922,0.204732,32,174.3
39.6,0.212358,0.04752,-0.0586589,0.153699,32,174.3
39.8,0.156751,0.02388,-0.0544954,0.102255,32,174.3
40,0.1008,-0.00000000000000319744,-0.0504,0.0504,32,174.3
